Name,Scientific Name,Class,Family,Lifespan (years),Top Speed (km/h),Weight (kg),Length (cm),Diet,Population Trend,Population Status,Mating Behavior,Arid Climate,Cold Climate,Polar Climate,Temperate Climate,Tropical Climate,Africa,Antarctica,Asia,Europe,North America,Oceania,South America
Muscovy Duck,Cairina moschata,Aves,Anatidae,14.0,66.8076923076923,2.5,75.0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1
Muskox,Ovibos moschatus,Mammalia,Bovidae,16.0,60.0,295.0,192.5,2,2,1,1,0,1,1,0,0,0,0,0,1,1,0,0
Muskart,Ondatra zibethicus,Mammalia,Cricetidae,6.5,4.0,1.0,55.0,2,2,1,1,0,1,0,1,0,0,0,1,1,1,0,1
Musky Rat-Kangaroo,Hypsiprymnodon moschatus,Mammalia,Hypsiprymnodontidae,4.0,41.829850746268654,0.506,27.5,0,2,1,2,0,0,0,0,1,0,0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,Anatidae,29.5,80.0,9.5,150.0,2,3,1,0,0,1,0,1,0,0,0,1,1,1,0,0
Nabarlek,Petrogale concinna,Mammalia,Macropodidae,17.0,41.829850746268654,1.4,33.75,2,1,2,2,0,0,0,0,1,0,0,0,0,0,1,0
Naked Mole-Rat,Heterocephalus glaber,Mammalia,Heterocephalidae,32.0,41.829850746268654,0.033,9.0,2,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0
Nanday Parakeet,Aratinga nenday,Aves,Psittacidae,20.0,66.8076923076923,0.14,28.5,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Narwhal,Monodon monoceros,Mammalia,Monodontidae,50.0,41.829850746268654,400.5,450.0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0
Neotropical River Otter,Lontra longicaudis,Mammalia,Mustelidae,18.121026894865526,41.829850746268654,10.0,120.0,1,1,1,2,0,0,0,0,1,0,0,0,0,1,0,1
New Holland Mouse,Pseudomys novaehollandiae,Mammalia,Muridae,1.5,41.829850746268654,718.2787728894176,7.75,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0
New Mexico Whiptail,Aspidoscelis neomexicanus,Reptilia,Teiidae,3.0,24.0,28.274673913043493,19.5,1,2,1,2,0,0,0,1,0,0,0,0,0,1,0,0
New Zealand Fur Seal,Arctocephalus forsteri,Mammalia,Otariidae,13.5,20.0,105.0,150.0,1,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0
